ProblemType,Algorithm,Method,Accuracy
linear,real,DTCgini,0.909
linear,real,DTCent,0.909
linear,real,RFCgini,0.909
linear,real,RFCent,0.909
linear,real,LRnone,0.909
linear,real,LRl1,0.909
linear,real,LRl2,0.909
linear,real,LRmix,0.909
linear,real,BNB,0.897
linear,real,GNB,0.66
linear,real,MnNB,0.836
linear,real,CNB,0.847
linear,real,SVMsig,0.909
linear,real,SVMpoly,0.909
linear,real,SVMrbf,0.909
linear,real,KNCunif,0.909
linear,real,KNCdist,0.909
non-linear,real,DTCgini,0.965
non-linear,real,DTCent,0.965
non-linear,real,RFCgini,0.965
non-linear,real,RFCent,0.965
non-linear,real,LRnone,0.965
non-linear,real,LRl1,0.965
non-linear,real,LRl2,0.97
non-linear,real,LRmix,0.97
non-linear,real,BNB,0.97
non-linear,real,GNB,0.965
non-linear,real,MnNB,0.97
non-linear,real,CNB,0.473
non-linear,real,SVMsig,0.965
non-linear,real,SVMpoly,0.965
non-linear,real,SVMrbf,0.965
non-linear,real,KNCunif,0.97
non-linear,real,KNCdist,0.97
sparse,real,DTCgini,0.895
sparse,real,DTCent,0.895
sparse,real,RFCgini,0.895
sparse,real,RFCent,0.895
sparse,real,LRnone,0.895
sparse,real,LRl1,0.895
sparse,real,LRl2,0.896
sparse,real,LRmix,0.895
sparse,real,BNB,0.896
sparse,real,GNB,0.704
sparse,real,MnNB,0.837
sparse,real,CNB,0.792
sparse,real,SVMsig,0.896
sparse,real,SVMpoly,0.895
sparse,real,SVMrbf,0.895
sparse,real,KNCunif,0.907
sparse,real,KNCdist,0.907
dimension,real,DTCgini,0.894
dimension,real,DTCent,0.892
dimension,real,RFCgini,0.909
dimension,real,RFCent,0.912
dimension,real,LRnone,0.924
dimension,real,LRl1,0.928
dimension,real,LRl2,0.93
dimension,real,LRmix,0.931
dimension,real,BNB,0.925
dimension,real,GNB,0.923
dimension,real,MnNB,0.803
dimension,real,CNB,0.662
dimension,real,SVMsig,0.713
